experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,e2e_latency_ms,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_healthcare_10000_differential_privacy_1752761795,2025-07-17T15:16:35.040053,batch,healthcare,10000,differential_privacy,"{""epsilon"": 0.5}",2.572157144546509,0,0,2.572157144546509,10000,3887.7873465865077,10000,1.0,125.75,12.6,0.09811067581176758,0.05269789695739746,0.5,0.5,0.5,0.25721571445465086,0.25721571445465086,0.25721571445465086,0,0.25721571445465086,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_10000_differential_privacy_1752761800,2025-07-17T15:16:40.600770,batch,healthcare,10000,differential_privacy,"{""epsilon"": 1.0}",2.622617721557617,0,0,2.622617721557617,10000,3812.984224807583,10000,1.0,125.046875,4.0,0.09974002838134766,0.056189537048339844,0.0,1.0,0.5,0.26226177215576174,0.26226177215576174,0.26226177215576174,0,0.26226177215576174,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_10000_differential_privacy_1752761806,2025-07-17T15:16:46.246547,batch,healthcare,10000,differential_privacy,"{""epsilon"": 2.0}",2.7011048793792725,0,0,2.7011048793792725,10000,3702.1887140857893,10000,1.0,125.921875,3.5,0.13785052299499512,0.07751846313476562,0.0,1.0,0.5,0.27011048793792725,0.27011048793792725,0.27011048793792725,0,0.27011048793792725,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_10000_tokenization_1752761811,2025-07-17T15:16:51.853514,batch,healthcare,10000,tokenization,"{""key_length"": 128}",2.6624560356140137,0,0,2.6624560356140137,10000,3755.93056419946,10000,1.0,124.328125,6.7,0.11332297325134277,0.05800604820251465,0.5,0.5,0.5,0.26624560356140137,0.26624560356140137,0.26624560356140137,0,0.26624560356140137,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_10000_tokenization_1752761817,2025-07-17T15:16:57.653575,batch,healthcare,10000,tokenization,"{""key_length"": 256}",2.8862037658691406,0,0,2.8862037658691406,10000,3464.7588358989747,10000,1.0,107.765625,11.5,0.1739966869354248,0.11540889739990234,0.5,0.5,0.5,0.2886203765869141,0.2886203765869141,0.2886203765869141,0,0.2886203765869141,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_10000_tokenization_1752761823,2025-07-17T15:17:03.283986,batch,healthcare,10000,tokenization,"{""key_length"": 512}",2.6574549674987793,0,0,2.6574549674987793,10000,3762.9988550331263,10000,1.0,125.71875,3.6,0.10549187660217285,0.056223392486572266,0.5,0.5,0.5,0.2657454967498779,0.2657454967498779,0.2657454967498779,0,0.2657454967498779,True,,TRUE COLD START: Batch processing with tokenization
batch_financial_10000_k_anonymity_1752761828,2025-07-17T15:17:08.935338,batch,financial,10000,k_anonymity,"{""k_value"": 3}",2.669145107269287,0,0,2.669145107269287,10000,3746.517929192192,8843,0.8843,121.25,9.7,0.01999831199645996,0.03290390968322754,0.15,0.85,0.5,0.26691451072692873,0.26691451072692873,0.26691451072692873,0,0.26691451072692873,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_10000_k_anonymity_1752761834,2025-07-17T15:17:14.668699,batch,financial,10000,k_anonymity,"{""k_value"": 5}",2.6569149494171143,0,0,2.6569149494171143,10000,3763.7636847178132,8843,0.8843,110.1875,20.4,0.01590704917907715,0.024541378021240234,0.25,0.75,0.5,0.2656914949417114,0.2656914949417114,0.2656914949417114,0,0.2656914949417114,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_10000_k_anonymity_1752761840,2025-07-17T15:17:20.261620,batch,financial,10000,k_anonymity,"{""k_value"": 10}",2.556730031967163,0,0,2.556730031967163,10000,3911.2459567371457,8843,0.8843,120.78125,20.3,0.015122175216674805,0.025561094284057617,0.5,0.5,0.5,0.2556730031967163,0.2556730031967163,0.2556730031967163,0,0.2556730031967163,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_10000_k_anonymity_1752761845,2025-07-17T15:17:25.933922,batch,financial,10000,k_anonymity,"{""k_value"": 15}",2.635322093963623,0,0,2.635322093963623,10000,3794.6025735926746,8843,0.8843,120.59375,17.0,0.01769542694091797,0.05934906005859375,0.75,0.25,0.5,0.2635322093963623,0.2635322093963623,0.2635322093963623,0,0.2635322093963623,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_10000_differential_privacy_1752761851,2025-07-17T15:17:31.632178,batch,financial,10000,differential_privacy,"{""epsilon"": 0.1}",2.656440019607544,0,0,2.656440019607544,10000,3764.4365866304693,8843,0.8843,121.71875,14.7,0.09566140174865723,0.05547451972961426,0.9,0.09999999999999998,0.5,0.2656440019607544,0.2656440019607544,0.2656440019607544,0,0.2656440019607544,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_10000_differential_privacy_1752761857,2025-07-17T15:17:37.244142,batch,financial,10000,differential_privacy,"{""epsilon"": 0.5}",2.5922811031341553,0,0,2.5922811031341553,10000,3857.606332858602,8843,0.8843,121.625,21.2,0.0609896183013916,0.03232216835021973,0.5,0.5,0.5,0.2592281103134155,0.2592281103134155,0.2592281103134155,0,0.2592281103134155,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_10000_differential_privacy_1752761862,2025-07-17T15:17:42.824037,batch,financial,10000,differential_privacy,"{""epsilon"": 1.0}",2.58040714263916,0,0,2.58040714263916,10000,3875.357432847714,8843,0.8843,121.4375,15.4,0.048191070556640625,0.029377222061157227,0.0,1.0,0.5,0.258040714263916,0.258040714263916,0.258040714263916,0,0.258040714263916,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_10000_differential_privacy_1752761868,2025-07-17T15:17:48.543900,batch,financial,10000,differential_privacy,"{""epsilon"": 2.0}",2.6546072959899902,0,0,2.6546072959899902,10000,3767.0355291744468,8843,0.8843,121.578125,23.7,0.05775117874145508,0.040538787841796875,0.0,1.0,0.5,0.265460729598999,0.265460729598999,0.265460729598999,0,0.265460729598999,True,,TRUE COLD START: Batch processing with differential_privacy
